direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"LUGAR CIMA DE VILA (PEDREDA), 21",L: 07:00-23:00,42.977444,PIUGOS DE PENA,-7.56175,Lugo,1.749,,1.799,,1.789,,1.899,LUGO,E.S. CEPSA PONTEBRANCA
"LUGAR CARRETERA LU-612 PK 3.86 LG SOÑARIÑO, SAN PEDRO DE SOÑAR, 3,86",D: 24H,42.961806,SOÑARIÑO,-7.563778,Lugo,1.709,,1.769,,1.769,,,LUGO,VALCARCE
"CARRETERA NACIONAL VI KM. 493,7",L-D: 07:00-23:00,42.968472,NADELA,-7.497306,Lugo,1.749,,1.809,,1.799,,,LUGO,REPSOL
"AVENIDA BENIGNO RIVERA, 99",L-D: 07:00-23:00,43.044333,CEAO (O),-7.569472,Lugo,1.759,,1.839,,1.809,,1.939,LUGO,REPSOL
"CARRETERA NACIONAL 640 KM. 87,400",L: 07:00-23:00,43.043667,MUXA DE ABAIXO,-7.517,Lugo,1.749,,1.829,,1.799,,1.939,LUGO,REPSOL
"LUGAR MUXA DE ARRIBA (SANTA MAR, 640",L-D: 24H,43.037639,MUXA DE ARRIBA,-7.527806,Lugo,1.769,,1.839,,1.799,,1.919,LUGO,BP
N-VI km 504,L-D: 07:00-23:00,43.034694,LUGO,-7.574722,Lugo,1.729,,1.809,,1.754,1.834,1.886,LUGO,CEPSA
N-VI km 504,L-D: 07:00-23:00,43.034759,LUGO,-7.574624,Lugo,1.705,,1.825,,1.719,1.839,1.851,LUGO,CEPSA
"CARRETERA LU-530 KM. 2,97",L-D: 07:00-23:00,43.012861,CASTELO,-7.523389,Lugo,1.769,1.479,1.819,,1.809,,1.929,LUGO,REPSOL
"CARRETERA N-540 KM. 10,5",L-S: 07:00-23:00; D: 08:00-23:00,42.931694,PICATO (EL),-7.63475,Lugo,1.719,1.472,1.779,,1.779,,1.919,LUGO,REPSOL
CARRETERA N-6 KM. 498,L-D: 07:00-23:00,42.988389,TOLDA (LA),-7.535639,Lugo,1.759,,1.839,,1.809,,,LUGO,REPSOL
CARRETERA N-540 KM. 2,L-D: 24H,42.996806,LOUZANETA,-7.587389,Lugo,1.759,,1.839,,1.809,,1.939,LUGO,REPSOL
CARRETERA N-540 KM. 2,L-D: 24H,42.997333,LOUZANETA,-7.587194,Lugo,1.699,,1.779,,1.779,,,LUGO,REPSOL
